Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30
903049-quest-nzoth-dk-kazakus-priest,awaken the makers,crystalline oracle,potion of madness,power word shield,shadow visions,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,doomsayer,loot hoarder,volatile elemental,wild pyromancer,kabal courier,tar creeper,infested tauren,kazakus,elise the trailblazer,skulking geist,the lich king,nzoth the corruptor
891331-quest-control-priest,awaken the makers,crystalline oracle,crystalline oracle,potion of madness,potion of madness,power word shield,power word shield,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,eternal servitude,eternal servitude,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,shadow essence,shadow essence,obsidian statue,obsidian statue,loot hoarder,loot hoarder,cairne bloodhoof,the beast,the lich king,nzoth the corruptor
902777-kazakus-quest-priest,awaken the makers,binding heal,crystalline oracle,northshire cleric,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,acolyte of agony,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,holy nova,lyra the sunshard,dragonfire potion,free from amber,obsidian statue,mistress of mixtures,bloodmage thalnos,loot hoarder,shallow gravedigger,infested tauren,kazakus,prince malchezaar,medivh the guardian,the lich king,nzoth the corruptor
902755-control-quest-kazakus-dk-priest-nzoth,awaken the makers,crystalline oracle,potion of madness,mana geode,mind blast,radiant elemental,shadow word pain,spirit lash,shadow word death,greater healing potion,mass dispel,priest of the feast,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,prophet velen,free from amber,shadowreaper anduin,obsidian statue,mind control,mistress of mixtures,bloodmage thalnos,loot hoarder,infested tauren,kazakus,bone drake,the lich king,nzoth the corruptor
902733-a-weird-quest-priest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,potion of madness,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,shadow word pain,spirit lash,mirage caller,mirage caller,shadow word death,shadow word death,eternal servitude,greater healing potion,priest of the feast,tortollan shellraiser,holy nova,onyx bishop,onyx bishop,cabal shadow priest,shadowreaper anduin,devilsaur egg,happy ghoul,stonehill defender,barnes,the lich king
902580-eggzodia-quest-priest,awaken the makers,crystalline oracle,power word shield,radiant elemental,shadow ascendant,shadow visions,shadow visions,shadow word pain,spirit lash,mirage caller,shadow word death,eternal servitude,greater healing potion,tortollan shellraiser,lyra the sunshard,raza the chained,dragonfire potion,herald volazj,shadowreaper anduin,obsidian statue,mistress of mixtures,runic egg,bloodmage thalnos,loot hoarder,devilsaur egg,barnes,kazakus,meat wagon,twilight summoner,nzoth the corruptor
902348-non-quest-raza-anduin,circle of healing,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,auchenai soulpriest,priest of the feast,darkshire alchemist,devour mind,holy nova,kabal songstealer,lyra the sunshard,raza the chained,cabal shadow priest,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,bloodmage thalnos,doomsayer,tar creeper,kazakus,elise the trailblazer,the lich king
902105-kft-greedy-expensive-effective-quest-priest,awaken the makers,crystalline oracle,potion of madness,power word shield,shadow visions,shadow word pain,spirit lash,shadow word death,eternal servitude,greater healing potion,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,prophet velen,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,loot hoarder,igneous elemental,shallow gravedigger,stonehill defender,kazakus,skelemancer,tomb lurker,cairne bloodhoof,the black knight,the lich king,nzoth the corruptor
902054-dk-nzoth-kazakus-quest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,shadow word death,eternal servitude,priest of the feast,shifting shade,tortollan shellraiser,holy nova,kabal songstealer,raza the chained,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,acidic swamp ooze,loot hoarder,happy ghoul,kazakus,elise the trailblazer,skulking geist,medivh the guardian,the lich king,nzoth the corruptor
901959-corpsetaker-quest,awaken the makers,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,acolyte of agony,shadow word death,shadow word death,tortollan shellraiser,tortollan shellraiser,dragonfire potion,dragonfire potion,shadowreaper anduin,obsidian statue,doomsayer,doomsayer,tainted zealot,tainted zealot,gluttonous ooze,shallow gravedigger,shallow gravedigger,arfus,corpsetaker,corpsetaker,bone drake,bone drake,nzoth the corruptor
901958-priest-deathrattle-quest-ungoro,awaken the makers,power word shield,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,shadow word death,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,holy nova,holy nova,kabal songstealer,onyx bishop,dragonfire potion,free from amber,doomsayer,loot hoarder,loot hoarder,acolyte of pain,shallow gravedigger,shallow gravedigger,barnes,spiritsinger umbra,twilight summoner,twilight summoner,cairne bloodhoof,nzoth the corruptor
901907-eu-fatique-priest-quest-benedictus,circle of healing,circle of healing,awaken the makers,power word shield,power word shield,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word death,greater healing potion,mass dispel,shadow word horror,dragonfire potion,dragonfire potion,archbishop benedictus,shadowreaper anduin,runic egg,runic egg,bloodmage thalnos,doomsayer,doomsayer,loot hoarder,loot hoarder,shallow gravedigger,shallow gravedigger,polluted hoarder,polluted hoarder,abomination,the lich king
896483-kotft-chris-quest-priest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,power word shield,power word shield,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,dragonfire potion,dragonfire potion,shadow essence,shadow essence,obsidian statue,obsidian statue,mistress of mixtures,mistress of mixtures,shallow gravedigger,shallow gravedigger,cairne bloodhoof,nzoth the corruptor
901883-death-quest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow word pain,spirit lash,shadow word death,greater healing potion,mass dispel,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,loot hoarder,happy ghoul,stonehill defender,infested tauren,kazakus,abomination,tomb lurker,cairne bloodhoof,the lich king,nzoth the corruptor
901769-deaths-quest,awaken the makers,crystalline oracle,crystalline oracle,power word shield,power word shield,shadow visions,shadow word pain,shadow word pain,curious glimmerroot,curious glimmerroot,mirage caller,mirage caller,shadow word death,shifting shade,shifting shade,holy nova,dragonfire potion,shadow essence,shadow essence,obsidian statue,mistress of mixtures,mistress of mixtures,bloodmage thalnos,vryghoul,vryghoul,arfus,skelemancer,skelemancer,cairne bloodhoof,nzoth the corruptor
875102-kofft-quest-priest-w-shadowreaper-anduin,awaken the makers,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,shadow visions,shadow word pain,shadow word pain,curious glimmerroot,curious glimmerroot,kabal talonpriest,kabal talonpriest,shadow word death,tortollan shellraiser,tortollan shellraiser,shadowreaper anduin,obsidian statue,obsidian statue,mistress of mixtures,mistress of mixtures,loot hoarder,loot hoarder,arfus,barnes,elise the trailblazer,bone drake,bone drake,cairne bloodhoof,nzoth the corruptor
901518-priest-quest-nzoth-lk-updated,awaken the makers,crystalline oracle,mind vision,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,shadow word pain,mirage caller,shadow word death,shadow word death,eternal servitude,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,lyra the sunshard,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,loot hoarder,volatile elemental,kabal courier,corpse raiser,skelemancer,the lich king,nzoth the corruptor
901487-kazakus-quest-priest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,acolyte of agony,mirage caller,shadow word death,shadowform,eternal servitude,shifting shade,tortollan shellraiser,holy nova,raza the chained,obsidian statue,dirty rat,loot hoarder,tainted zealot,kabal courier,barnes,kazakus,twilight summoner,bone drake,cairne bloodhoof,the lich king,nzoth the corruptor
901429-death-quest-priest,awaken the makers,crystalline oracle,shadow visions,shadow word pain,kabal talonpriest,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,onyx bishop,raza the chained,dragonfire potion,shadow essence,prophet velen,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,volatile elemental,shallow gravedigger,vryghoul,infested tauren,kazakus,twilight summoner,skelemancer,bone drake,cairne bloodhoof,the lich king,nzoth the corruptor
901350-quest-control-kaz,awaken the makers,crystalline oracle,northshire cleric,power word shield,mana geode,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,free from amber,shadowreaper anduin,mistress of mixtures,bloodmage thalnos,shallow gravedigger,infested tauren,kazakus,elise the trailblazer,cairne bloodhoof,moat lurker,medivh the guardian,the lich king
901319-shadowreaper-quest-nzoth-kazakus-priest,awaken the makers,crystalline oracle,potion of madness,power word shield,shadow visions,shadow word pain,spirit lash,curious glimmerroot,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,mind control,mistress of mixtures,bloodmage thalnos,doomsayer,arfus,infested tauren,kazakus,cairne bloodhoof,the lich king,ysera,nzoth the corruptor
901308-koft-quest-preist,awaken the makers,crystalline oracle,shadow visions,shadow word pain,acolyte of agony,curious glimmerroot,shadow word death,thoughtsteal,eternal servitude,greater healing potion,shifting shade,tortollan shellraiser,holy nova,kabal songstealer,onyx bishop,raza the chained,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,mistress of mixtures,loot hoarder,volatile elemental,igneous elemental,kabal courier,barnes,cairne bloodhoof,skulking geist,the lich king,nzoth the corruptor
901274-renkis-highlander-quest-priest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,eternal servitude,priest of the feast,shadow word horror,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,acidic swamp ooze,loot hoarder,arfus,kazakus,burgly bully,cairne bloodhoof,the black knight,the lich king,nzoth the corruptor
901195-quest-dk-priest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,shadow word death,eternal servitude,greater healing potion,tortollan shellraiser,kabal songstealer,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,acidic swamp ooze,bloodmage thalnos,doomsayer,gluttonous ooze,stonehill defender,kazakus,elise the trailblazer,skulking geist,the lich king,nzoth the corruptor
900994-highlander-quest-priest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,curious glimmerroot,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,drakonid operative,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,netherspite historian,youthful brewmaster,kabal courier,shallow gravedigger,arfus,kazakus,spiritsinger umbra,bone drake,the lich king,nzoth the corruptor
900912-dk-dragon-quest-priest,awaken the makers,crystalline oracle,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,shadow word pain,spirit lash,shadow word death,shadow word death,tortollan shellraiser,tortollan shellraiser,drakonid operative,drakonid operative,dragonfire potion,free from amber,free from amber,shadowreaper anduin,obsidian statue,faerie dragon,netherspite historian,netherspite historian,shallow gravedigger,shallow gravedigger,twilight drake,twilight drake,bone drake,bone drake,primordial drake
900896-quest-nzoth-raza-controling-the-meta,awaken the makers,binding heal,crystalline oracle,northshire cleric,potion of madness,power word shield,acolyte of agony,mirage caller,shadow word death,eternal servitude,shadow madness,shifting shade,tortollan shellraiser,kabal songstealer,onyx bishop,raza the chained,dragonfire potion,shadow essence,shadowreaper anduin,obsidian statue,mistress of mixtures,prince keleseth,shallow gravedigger,arfus,barnes,spiritsinger umbra,skelemancer,cairne bloodhoof,the lich king,nzoth the corruptor
900890-anduin-kazakus-quest-zoth-priest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,shadow word death,eternal servitude,mass dispel,shadow word horror,shifting shade,tortollan shellraiser,holy nova,raza the chained,cabal shadow priest,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,mistress of mixtures,loot hoarder,volatile elemental,harvest golem,arfus,barnes,kazakus,twilight summoner,medivh the guardian,nzoth the corruptor
900840-dragon-nzoth-quest-priest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,power word shield,power word shield,shadow word pain,shadow word pain,shadow word death,shadow word death,shifting shade,shifting shade,drakonid operative,drakonid operative,lyra the sunshard,dragonfire potion,dragonfire potion,netherspite historian,netherspite historian,elise the trailblazer,bone drake,bone drake,book wyrm,book wyrm,skulking geist,primordial drake,primordial drake,ysera,nzoth the corruptor
895016-shadowkazaquest,circle of healing,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,mirage caller,shadow word death,auchenai soulpriest,eternal servitude,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,shadow essence,shadowreaper anduin,obsidian statue,loot hoarder,volatile elemental,acolyte of pain,shallow gravedigger,stonehill defender,kazakus,elise the trailblazer,tomb lurker,cairne bloodhoof,nzoth the corruptor
900721-quest-dk-razakus,awaken the makers,crystalline oracle,shadow visions,shadow word pain,spirit lash,mirage caller,shadow word death,eternal servitude,tortollan shellraiser,holy nova,onyx bishop,raza the chained,dragonfire potion,shadow essence,prophet velen,shadowreaper anduin,obsidian statue,bloodmage thalnos,loot hoarder,acolyte of pain,shallow gravedigger,stonehill defender,arfus,barnes,infested tauren,kazakus,skelemancer,skulking geist,the lich king,nzoth the corruptor
900635-dragonquest-priest,awaken the makers,crystalline oracle,crystalline oracle,shadow word pain,spirit lash,shadow word death,shadow word death,eternal servitude,mass dispel,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,drakonid operative,drakonid operative,kabal songstealer,dragonfire potion,dragonfire potion,obsidian statue,netherspite historian,netherspite historian,arfus,barnes,spiritsinger umbra,bone drake,bone drake,cairne bloodhoof,primordial drake,the lich king,nzoth the corruptor
894645-greedy-questpriest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,potion of madness,shadow word pain,shadow word pain,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shifting shade,tortollan shellraiser,tortollan shellraiser,holy nova,dragonfire potion,shadow essence,shadow essence,loot hoarder,loot hoarder,shallow gravedigger,shallow gravedigger,arfus,elise the trailblazer,cairne bloodhoof,the lich king,ysera,nzoth the corruptor
900531-quest-nzoth-priest-fun-and-fun-and-damm-good,awaken the makers,crystalline oracle,shadow word pain,spirit lash,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,devour mind,holy nova,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,doomsayer,loot hoarder,gluttonous ooze,kabal courier,arfus,barnes,infested tauren,kazakus,cairne bloodhoof,skulking geist,the black knight,the lich king,nzoth the corruptor
882535-koft-quest-highlander-priest,awaken the makers,crystalline oracle,pint size potion,potion of madness,power word shield,shadow visions,shadow word pain,spirit lash,mirage caller,shadow word death,eternal servitude,greater healing potion,mass dispel,shadow word horror,tortollan shellraiser,holy nova,lyra the sunshard,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,bloodmage thalnos,dirty rat,arfus,infested tauren,kazakus,elise the trailblazer,skulking geist,medivh the guardian,nzoth the corruptor
900113-kft-quest-deck,awaken the makers,crystalline oracle,crystalline oracle,potion of madness,potion of madness,power word shield,power word shield,shadow word pain,shadow word pain,mirage caller,shadow word death,shadow word death,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,dragonfire potion,dragonfire potion,shadowreaper anduin,loot hoarder,loot hoarder,shallow gravedigger,shallow gravedigger,elise the trailblazer,bone drake,cairne bloodhoof,primordial drake,the lich king,ysera,nzoth the corruptor
899814-quest-priest-dk-lyra-kazkus,awaken the makers,crystalline oracle,power word shield,shadow word pain,spirit lash,shadow word death,shifting shade,tortollan shellraiser,holy nova,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,bloodmage thalnos,loot hoarder,gluttonous ooze,shallow gravedigger,stonehill defender,barnes,kazakus,abomination,elise the trailblazer,skelemancer,cairne bloodhoof,the black knight,primordial drake,the lich king,nzoth the corruptor
899775-quest-priest-ktf,awaken the makers,crystalline oracle,crystalline oracle,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,holy nova,onyx bishop,dragonfire potion,shadow essence,shadow essence,free from amber,obsidian statue,obsidian statue,mistress of mixtures,mistress of mixtures,bloodmage thalnos,loot hoarder,loot hoarder,barnes,nzoth the corruptor
899725-dragon-quest-frozen-throne-dragon-priest,awaken the makers,crystalline oracle,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,drakonid operative,drakonid operative,dragonfire potion,dragonfire potion,loot hoarder,loot hoarder,netherspite historian,netherspite historian,infested tauren,infested tauren,bone drake,bone drake,book wyrm,book wyrm,primordial drake,primordial drake,ysera,deathwing dragonlord,nzoth the corruptor
899712-quest-frozen-throne,awaken the makers,crystalline oracle,northshire cleric,power word shield,power word shield,shadow word pain,shadow word pain,mirage caller,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,shifting shade,tortollan shellraiser,tortollan shellraiser,dragonfire potion,dragonfire potion,shadow essence,shadow essence,shadowreaper anduin,obsidian statue,obsidian statue,loot hoarder,shallow gravedigger,arfus,barnes,spiritsinger umbra,cairne bloodhoof,nzoth the corruptor
899685-ungoro-quest-dragon-priest,awaken the makers,crystalline oracle,crystalline oracle,potion of madness,power word shield,power word shield,curious glimmerroot,mirage caller,mirage caller,shadow word death,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,drakonid operative,drakonid operative,dragonfire potion,mistress of mixtures,bloodmage thalnos,loot hoarder,loot hoarder,netherspite historian,volatile elemental,volatile elemental,barnes,spiritsinger umbra,cairne bloodhoof,primordial drake,ysera,nzoth the corruptor
899663-quest-priest,silence,silence,awaken the makers,crystalline oracle,northshire cleric,northshire cleric,shadow word death,shadow word death,greater healing potion,tortollan shellraiser,holy nova,holy nova,onyx bishop,onyx bishop,leper gnome,mistress of mixtures,runic egg,runic egg,loot hoarder,volatile elemental,backstreet leper,backstreet leper,eggnapper,eggnapper,spawn of nzoth,spiritsinger umbra,moat lurker,moat lurker,sated threshadon,sated threshadon
899517-triple-prince-raza-quest-priest,forbidden shaping,silence,awaken the makers,crystalline oracle,northshire cleric,darkshire alchemist,raza the chained,dragonfire potion,embrace darkness,shadow essence,free from amber,shadowreaper anduin,obsidian statue,mind control,mistress of mixtures,zealous initiate,prince keleseth,prince taldaram,prince valanar,abomination,cobalt scalebane,corpse raiser,corrupted healbot,elise the trailblazer,tomb lurker,bone drake,cairne bloodhoof,sated threshadon,medivh the guardian,nzoth the corruptor
899227-ktf-nzoth-quest,silence,silence,awaken the makers,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,curious glimmerroot,kabal talonpriest,shadow word death,shadow word death,eternal servitude,priest of the feast,priest of the feast,shifting shade,lyra the sunshard,dragonfire potion,shadowreaper anduin,obsidian statue,shallow gravedigger,shallow gravedigger,tortollan primalist,nzoth the corruptor
898796-kft-dk-quest-priest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,potion of madness,potion of madness,shadow visions,shadow visions,spirit lash,spirit lash,curious glimmerroot,curious glimmerroot,mirage caller,mirage caller,shadow word death,shadow word death,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,onyx bishop,onyx bishop,dragonfire potion,shadowreaper anduin,bloodmage thalnos,elise the trailblazer,cairne bloodhoof,the lich king,nzoth the corruptor
898750-priest-quest-dk,awaken the makers,crystalline oracle,crystalline oracle,potion of madness,potion of madness,shadow word pain,shadow word pain,shadow word death,shadow word death,shifting shade,shifting shade,tortollan shellraiser,dragonfire potion,dragonfire potion,shadowreaper anduin,obsidian statue,doomsayer,loot hoarder,loot hoarder,sunfury protector,sunfury protector,volatile elemental,shallow gravedigger,shallow gravedigger,defender of argus,skelemancer,skelemancer,bone drake,bone drake,nzoth the corruptor
898574-quest-priest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,power word shield,power word shield,shadow word pain,shadow word pain,spirit lash,spirit lash,kabal talonpriest,kabal talonpriest,shadow word death,eternal servitude,priest of the feast,priest of the feast,shifting shade,tortollan shellraiser,tortollan shellraiser,dragonfire potion,shadowreaper anduin,bloodmage thalnos,loot hoarder,loot hoarder,barnes,spiritsinger umbra,cairne bloodhoof,the lich king,nzoth the corruptor
898511-quest-kazakus,awaken the makers,crystalline oracle,northshire cleric,power word shield,shadow visions,shadow word pain,spirit lash,shadow word death,eternal servitude,greater healing potion,shifting shade,tortollan shellraiser,lyra the sunshard,dragonfire potion,free from amber,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,doomsayer,kabal courier,stonehill defender,kazakus,twilight summoner,harrison jones,cairne bloodhoof,medivh the guardian,primordial drake,the lich king,nzoth the corruptor
898454-quest-nzoth-dragon-kazakus-priest,awaken the makers,northshire cleric,potion of madness,power word shield,spirit lash,curious glimmerroot,kabal talonpriest,shadow word death,shifting shade,tortollan shellraiser,drakonid operative,holy nova,kabal songstealer,dragonfire potion,obsidian statue,mistress of mixtures,bloodmage thalnos,doomsayer,loot hoarder,netherspite historian,tar creeper,kazakus,twilight drake,bomb squad,cobalt scalebane,bone drake,book wyrm,primordial drake,the lich king,nzoth the corruptor
898051-quest-control-priest,awaken the makers,crystalline oracle,crystalline oracle,potion of madness,potion of madness,shadow word pain,shadow word pain,spirit lash,spirit lash,mirage caller,mirage caller,shadow word death,shadow word death,tortollan shellraiser,tortollan shellraiser,holy nova,dragonfire potion,dragonfire potion,shadow essence,obsidian statue,loot hoarder,loot hoarder,tainted zealot,arfus,spiritsinger umbra,bone drake,cairne bloodhoof,primordial drake,deathwing,nzoth the corruptor
897798-kazakus-dragon-quest,awaken the makers,crystalline oracle,northshire cleric,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,drakonid operative,dragonfire potion,shadowreaper anduin,obsidian statue,bloodmage thalnos,netherspite historian,acolyte of pain,barnes,kazakus,twilight drake,cobalt scalebane,skelemancer,bone drake,book wyrm,cairne bloodhoof,the lich king,nzoth the corruptor
897625-death-knight-quest,awaken the makers,crystalline oracle,shadow visions,shadow word pain,mirage caller,shadow word death,eternal servitude,shadow word horror,shifting shade,tortollan shellraiser,holy nova,onyx bishop,raza the chained,dragonfire potion,shadow essence,archbishop benedictus,shadowreaper anduin,obsidian statue,mistress of mixtures,volatile elemental,shallow gravedigger,spawn of nzoth,arfus,barnes,kazakus,spiritsinger umbra,skelemancer,tomb lurker,cairne bloodhoof,nzoth the corruptor
897608-deathknight-kazakus-nzoth-quest-control-priest,awaken the makers,power word shield,radiant elemental,shadow visions,shadow word pain,shadow word death,priest of the feast,shadow word horror,shifting shade,tortollan shellraiser,lyra the sunshard,raza the chained,dragonfire potion,holy fire,free from amber,shadowreaper anduin,obsidian statue,doomsayer,acolyte of pain,stonehill defender,tar creeper,infested tauren,kazakus,elise the trailblazer,harrison jones,cairne bloodhoof,skulking geist,primordial drake,ysera,nzoth the corruptor
897399-dk-quest-priest,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,shadow visions,shadow visions,shadow word pain,spirit lash,spirit lash,curious glimmerroot,mirage caller,mirage caller,shifting shade,tortollan shellraiser,tortollan shellraiser,lyra the sunshard,dragonfire potion,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,bloodmage thalnos,elise the trailblazer,cairne bloodhoof,nzoth the corruptor
897143-quest-dk-priest,awaken the makers,crystalline oracle,potion of madness,power word shield,shadow visions,shadow word pain,curious glimmerroot,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,onyx bishop,raza the chained,dragonfire potion,prophet velen,free from amber,shadowreaper anduin,mistress of mixtures,bloodmage thalnos,doomsayer,loot hoarder,acolyte of pain,barnes,infested tauren,kazakus,elise the trailblazer,bone drake,cairne bloodhoof,nzoth the corruptor
897049-insane-quest-raza-andiun-priest,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,shadow visions,shadow word pain,kabal talonpriest,shadow word death,shifting shade,tortollan shellraiser,holy nova,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,bloodmage thalnos,loot hoarder,volatile elemental,happy ghoul,kabal courier,shallow gravedigger,arfus,kazakus,elise the trailblazer,tomb lurker,bone drake,cairne bloodhoof,the lich king,nzoth the corruptor
897015-dk-questikus-anduin,awaken the makers,crystalline oracle,northshire cleric,potion of madness,power word shield,radiant elemental,shadow visions,shadow word pain,spirit lash,kabal talonpriest,mirage caller,shadow word death,eternal servitude,shifting shade,tortollan shellraiser,kabal songstealer,lyra the sunshard,raza the chained,dragonfire potion,shadowreaper anduin,obsidian statue,mistress of mixtures,loot hoarder,arfus,barnes,kazakus,bone drake,cairne bloodhoof,the lich king,nzoth the corruptor
897006-dragon-nztoh-quest,awaken the makers,crystalline oracle,crystalline oracle,shadow ascendant,shadow ascendant,shadow visions,shadow visions,shadow word pain,shadow word pain,mirage caller,shadow word death,shadow word death,eternal servitude,eternal servitude,tortollan shellraiser,tortollan shellraiser,drakonid operative,drakonid operative,dragonfire potion,dragonfire potion,shadowreaper anduin,obsidian statue,netherspite historian,netherspite historian,barnes,bone drake,bone drake,primordial drake,deathwing dragonlord,nzoth the corruptor
896882-arfus-quest-finding-n-zoth-and-amara,awaken the makers,crystalline oracle,crystalline oracle,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,shadow visions,shadow visions,mirage caller,mirage caller,shadow word death,shadow word death,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,dragonfire potion,dragonfire potion,obsidian statue,volatile elemental,volatile elemental,arfus,spiritsinger umbra,elise the trailblazer,faceless manipulator,cairne bloodhoof,the lich king,nzoth the corruptor
896846-nzoth-quest-priest-frozen-throne-kft,awaken the makers,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,kabal songstealer,dragonfire potion,dragonfire potion,obsidian statue,mistress of mixtures,mistress of mixtures,acidic swamp ooze,bloodmage thalnos,barnes,bone drake,cairne bloodhoof,primordial drake,primordial drake,the lich king,nzoth the corruptor
